word,count
woah,125
r,125
hop,125
wrote,124
count,124
radio,124
later,124
hook,124
box,124
secret,124
daughter,123
u're,123
dope,123
they'll,123
changes,123
dig,122
suck,122
forgive,122
deal,122
tongue,122
driving,122
devil,122
changed,122
mo,122
chest,121
lit,121
poor,121
trouble,121
icky,121
share,121
mountain,120
cake,120
here's,119
race,119
doubt,119
que,119
wide,118
crowd,118
slim,118
beef,118
return,118
edge,118
killed,118
heat,117
spirit,117
pretend,117
longer,117
haters,117
happen,116
x,116
learned,116
safe,116
crib,116
waste,116
sent,116
hours,116
class,116
brought,116
harder,115
stuff,115
dry,115
having,115
price,115
snow,115
squeeze,114
week,114
question,114
short,114
rings,114
glass,113
grown,113
fighting,113
chains,113
blessed,113
married,112
expect,112
tellin,112
places,112
storm,112
bird,112
hungry,111
thee,111
sunday,111
pocket,111
grave,111
twice,111
store,111
scene,111
id,111
shame,110
lucky,110
switch,110
country,110
bounce,110
notorious,110
prove,110
shining,110
anyway,110
sense,109
realize,109
silver,109
feelings,109
everybody's,109
loose,109
locked,109
ends,109
state,109
weezy,109
vibe,109
crew,109
anyone,108
poppa,108
ti,108
rapper,108
kept,108
instead,108
lick,108
bullshit,108
flowers,107
choose,107
plan,107
church,107
nine,107
mi,107
fit,107
rose,107
tv,106
she'll,106
figure,106
purple,106
birds,106
double,106
funky,106
nose,106
ima,106
hanging,106
guns,106
waitin,106
begin,106
repeat,106
darlin,106
smell,106
dem,105
sleeping,105
neck,105
amy,105
hallelujah,105
angels,105
greatest,104
bite,104
walkin,104
zone,104
cops,104
marry,104
working,104
dying,103
glory,103
spent,102
cream,102
seat,102
letter,102
happened,102
moving,102
ve,102
ive,102
trip,102
special,101
pictures,101
winter,101
lean,101
whatcha,101
prince,101
bom,101
wave,101
flip,101
smokin,101
throwing,100
ain,100
x2,100
rule,100
tha,100
pack,100
killing,100
extra,99
america,99
limit,99
poppin,99
tall,99
rockin,99
holdin,99
theres,99
corner,99
belong,98
girlfriend,98
5,98
dollar,98
cover,98
problem,98
worst,98
waist,98
ago,98
heavy,98
rules,98
distance,98
drugs,98
saved,97
hoo,97
riding,97
mercy,97
trees,97
shimmy,97
case,97
feed,97
walls,97
early,97
thoughts,97
given,96
problems,96
pink,96
respect,96
bottles,96
life's,96
isn't,95
somehow,95
beyond,95
paradise,95
pulled,95
plane,94
faces,94
steady,94
hammer,94
hill,94
ear,94
except,94
attention,94
legs,94
drama,94
body's,94
won,94
thou,93
ship,93
grass,93
closer,93
e,93
whip,93
rollin,93
sittin,93
sold,93
clique,93
eight,92
beauty,92
record,92
proud,92
sat,92
bow,92
leaves,92
louis,92
dat,92
finger,92
doctor,92
drinking,91
nicki,91
turning,91
groove,91
flying,91
bread,91
we'd,91
didnt,91
dirt,91
jam,91
busy,91
lying,91
bells,91
hurts,91
pants,91
losing,90
actin,90
bottle,90
youll,90
coke,90
hurry,89
food,89
pour,89
raise,89
plans,89
mark,89
memories,89
shawty,89
simple,89
turns,89
someday,89
speed,89
spin,88
thunder,88
desire,88
kitchen,88
steal,88
screamin,88
couldnt,88
happiness,88
c,88
romance,88
bank,88
fancy,87
asking,87
doors,87
major,87
american,87
beneath,87
fade,87
brooklyn,87
breaking,87
voices,87
fo,87
gay,87
quiet,87
book,87
within,86
rat,86
beats,86
teach,86
wasnt,86
midnight,86
uptown,85
dude,85
witcha,85
tough,85
bye,85
lovers,85
passed,85
nuts,85
moved,85
underneath,85
clip,85
darkness,85
radar,85
jah,84
grew,84
aah,84
become,84
trippin,84
ghost,84
slip,84
hole,84
heads,84
starts,84
bomb,84
gat,84
everything's,83
stress,83
cmon,83
runaway,83
highway,83
trick,83
dressed,83
forgot,83
rhyme,83
kissed,83
givin,83
folks,83
laughing,82
luck,82
famous,82
ohh,82
jay,82
whenever,82
names,82
others,82
laid,82
color,82
dawn,82
dare,82
chase,82
sounds,82
starting,81
likes,81
drinks,81
dust,81
whose,81
chill,81
lived,81
missing,81
vietnam,81
beside,81
freaky,81
hat,81
jammin,81
pieces,81
fair,81
rappers,81
camera,81
piss,80
pride,80
dropped,80
cell,80
liquor,80
toes,80
messed,80
grace,80
quite,80
ludacris,80
clock,80
there'll,80
johnny,80
arm,80
survive,80
muh,80
monkey,80
motherfucking,80
thick,79
falls,79
whether,79
dime,79
clap,79
sand,79
thang,79
sees,79
acting,79
golden,79
excuse,79
foot,79
skies,79
yup,79
sweat,79
position,79
fate,79
cryin,79
loneliness,79
roof,79
loot,79
message,79
held,79
worried,78
fantasy,78
ghetto,78
heal,78
cock,78
remind,78
police,78
bones,78
haven't,78
freedom,78
hee,78
mornin,78
company,78
walks,78
weight,78
filled,77
nor,77
drug,77
melody,77
admit,77
evening,77
california,77
hi,77
bam,77
tune,77
jackson,76
oooh,76
lock,76
gas,76
action,76
guitar,76
master,76
doo,76
judge,76
shoulder,76
ocean,76
test,76
glock,76
split,75
calls,75
noise,75
sippin,75
dah,75
blunts,75
boat,75
date,75
leader,75
coast,75
mister,75
drove,75
build,75
began,75
older,75
stopped,75
fashion,75
dough,74
fallin,74
pockets,74
pimp,74
pum,74
deserve,74
willing,74
jolene,74
breathing,74
wrist,74
ta,74
silly,74
alert,74
explain,73
evil,73
smalls,73
album,73
bless,73
threw,73
lines,73
he'll,73
sip,73
champagne,73
cop,73
taught,73
bound,73
east,73
imagine,73
bedroom,72
blew,72
wherever,72
murder,72
climb,72
triple,72
stood,72
stole,72
private,72
taken,72
claim,72
lifetime,72
rum,72
boots,72
bunch,72
mmm,71
fore,71
breakin,71
nervous,71
building,71
insane,71
dangerous,71
player,71
mack,71
hits,71
bleed,71
toast,71
worse,71
barely,71
sheets,70
pon,70
awake,70
hills,70
amazing,70
honest,70
stronger,70
holla,70
slowly,70
spread,70
havin,70
soldier,70
dad,70
knowing,70
bottoms,70
rough,70
flower,69
singin,69
killin,69
hotel,69
bus,69
blunt,69
shakin,69
serve,69
coat,69
beginning,69
bags,69
wishing,69
es,69
bass,69
swallow,69
platinum,69
jingalin,69
hip,69
ate,69
shows,69
memory,69
wondering,68
ym,68
je,68
f,68
battle,68
machine,68
shouldn't,68
keeping,68
rip,68
mistakes,68
history,68
downtown,68
stranger,68
whos,68
man's,68
named,68
rhythm,67
annie,67
gangsta,67
lesson,67
foreign,67
shy,67
course,67
beg,67
dreaming,67
rider,67
aw,67
hollywood,67
flame,67
happens,67
gucci,67
cats,67
ballin,67
rocks,67
toy,67
shorty,67
woke,66
struggle,66
below,66
sugar,66
it'll,66
perhaps,66
titties,66
headed,66
they've,66
billy,66
saturday,66
vision,66
finished,66
playa,66
slap,66
truck,66
shoulda,66
closed,66
bump,66
asleep,66
daddy's,66
stack,66
melt,66
often,65
guys,65
horse,65
stare,65
bigger,65
tote,65
screaming,65
regret,65
strip,65
paint,65
madly,65
order,65
searching,65
swalla-la-la,65
pig,65
either,65
raised,64
island,64
exactly,64
pleasure,64
jail,64
super,64
touched,64
brothers,64
garden,64
tan,64
age,64
buck,64
creep,64
video,64
satisfied,64
drinkin,64
bend,64
chair,64
cure,64
cute,64
poker,64
butt,64
swing,64
wiggle,63
finna,63
system,63
heres,63
enemies,63
dread,63
pressure,63
missed,63
tennessee,63
escape,63
spark,63
anywhere,63
language,63
hmm,63
advice,63
wee,63
mountains,63
sacrifice,63
text,63
wash,63
brains,63
wheels,62
dancin,62
travelin,62
bricks,62
ow,62
belle,62
shinin,62
games,62
fifty,62
movin,62
dogs,62
blowing,62
force,62
sticky,62
hips,62
lately,62
weekend,62
est,62
beast,61
tu,61
hangin,61
gats,61
bee,61
tape,61
candy,61
ease,61
selfish,61
secured,61
self,61
ahh,61
brings,61
flat,61
surrender,61
mouse,61
stands,61
shed,61
slide,61
spinning,61
12,61
hotter,61
promised,61
parking,61
showed,61
knife,60
hung,60
decide,60
tour,60
steps,60
wouldnt,60
fed,60
papers,60
fools,60
dragon,60
trade,60
surely,60
whisper,60
weather,60
plenty,60
drag,60
army,59
college,59
plain,59
chicago,59
seein,59
sang,59
shooting,59
paris,59
colors,59
rolled,59
beach,59
dollars,59
ears,59
cost,59
blowin,59
y,59
friday,59
tip,59
bars,59
seeing,59
windows,59
pac,58
watchin,58
screen,58
notice,58
trap,58
listening,58
moves,58
players,58
built,58
cares,58
slave,58
mighty,58
questions,58
li,58
picked,58
bein,58
leather,57
raw,57
blows,57
6,57
bills,57
runs,57
match,57
stacks,57
cards,57
bathroom,57
writing,57
smoking,57
mall,57
glow,57
spoke,57
tracks,57
tie,57
stage,57
lee,57
eating,57
travel,56
worked,56
homies,56
form,56
drake,56
pills,56
tale,56
steel,56
nothing's,56
gang,56
she'd,56
dinner,56
flex,56
raah,56
luda,56
fail,56
fault,56
lyin,56
strength,56
itll,56
deny,56
closet,56
wood,56
north,56
truly,56
dungeon,56
shes,56
tunechi,56
shore,56
valley,55
scary,55
kisses,55
gypsy,55
tricks,55
lied,55
station,55
remain,55
bands,55
throat,55
himself,55
bare,55
tied,55
cloud,55
ol,55
jane,55
silence,55
rising,55
9,55
crush,55
fan,55
attitude,55
whips,55
hustle,55
wearing,55
size,55
closing,55
ego,54
press,54
wrapped,54
proof,54
numbers,54
drown,54
refrain,54
nature,54
duck,54
view,54
owe,54
planet,54
chicks,54
list,54
guilty,54
milk,54
stir,54
shoulders,54
mike,54
crown,54
joe,54
electric,54
missin,54
mahna,54
mcghee,54
en,53
beating,53
drank,53
kings,53
winds,53
spell,53
wow,53
ridin,53
spring,53
estoy,53
passion,53
fields,53
flesh,53
pregnant,53
babies,53
enemy,53
wheel,53
flows,53
frank,53
guard,53
simply,53
speechless,53
shower,53
finish,53
coffee,53
victory,53
shook,53
jealous,53
burns,53
court,53
chi,53
killer,52
crime,52
pen,52
page,52
st,52
weep,52
cheese,52
rhymes,52
frontin,52
strings,52
kim,52
rah,52
